id,addr,pow_earn,referee_pos_earn,pos_earn,additional,earn_num,balance_eth,stake_num,total
52,0x2d87fc4f562b50e919653a9a7402eb35c354ddaf,159.65238859,0,1489.94098972,0,1649.59337831,249.12448658761204,15000.0,16898.71786489554
53,0xf29a95570b26aca0f8cf675f28aa7b4701eac591,159.65169136,0,59.59779681,0,219.24948817,1.0926051922399547,600.0,820.3420933607125
54,0x89b73a846510634cdd49ac3ec23ea89a99114189,731.40556221,0,1467.27039442,0,2198.67595663,349.450643655467,1800.0,4348.126600284054
55,0x3ce6fb0dba7c39872964cb7f44d7a4e49db04b88,6.26259101,414.33812837,0,0,420.60071939,0.47808522417794014,0.0,421.07880461129713
56,0xf696dcd3e747900781272ece7616922c98d02a52,159.65108921,0,59.59756196,0,219.24865117,1.8395921753135964,600.0,821.0882433458728
57,0xb1960041404c76d440473e86b1c815ce6377878c,243.74886408,0,109.82553732,0,353.5744014,1097.8503360217799,600.0,2051.4247374171273
58,0x19cf11eeffc67e102080c15ef98549a6c756742f,159.65026522,0,59.59724059,0,219.2475058,1.1168385483606855,600.0,820.3643443533545
59,0x9713eb585386e1bb210783cdb56d39274730930c,12.5244849,0,667.72589401,0,680.25037891,0.8800087714251246,87600.0,88281.13038768228
60,0xb6818c3a6fbe21eb3b0a9c50f3b4c9ef40aeccf2,159.64937784,0,59.5968945,0,219.24627233,1.547921741702368,600.0,820.794194076087
61,0xc8d6085a2838cd3464380be14b048f4c57e94ca1,159.64877569,0,59.59665965,0,219.24543534,1.5183257315430378,600.0,820.7637610680144
62,0x1aca3ab9c7dfd48bec650b121282b40ca819567e,159.64820523,0,59.59643716,0,219.24464239,1.0353431922101366,600.0,820.27998558329
63,0xc2c4ce6ea2b4e41ff3ac1bfff8167e3ce3e63593,25.04554758,533.06767144,22.86419825,0,580.97741727,0.138819997596888,3000.0,3581.1162372720487
64,0xf3e8fb826a776315c9a8513f3738aca42313075a,188.10803872,0,3328.54388033,0,3516.65191905,363.93708691475405,24600.0,28480.589005963564
65,0xd154c809dd1b74ae676d2e04877ca2c3f56696d0,731.40556221,0,1467.27039442,0,2198.67595663,349.84056758449793,1800.0,4348.516524213084
66,0xea8a5aa4d82a39cb4467695921cd116d5436a2f4,292.93711885,0,138.14801782,0,431.08513668,1.7796186366599447,600.0,1032.8647553117785
67,0xe55f471f94fbf30fd8c7a747f9a83e95abc28ed5,292.93407533,0,138.14616042,0,431.08023575,1.3264866287633832,600.0,1032.4067223782963
68,0x5c8c26bd5fca2b456abc47c44590f867f8335787,731.40556221,0,1467.27039442,0,2198.67595663,349.692590200309,1800.0,4348.368546828896
69,0xb34dec90b74a54b78c15652ff3c843bc79f075bb,292.93039774,0,138.14391605,0,431.0743138,1.9098987229078015,600.0,1032.9842125206917
70,0x1e16ac64507326073ee70244ae4d8b0c08c6d445,292.9271006,0,138.14190387,0,431.06900446,1.8512762836880265,600.0,1032.920280745421
71,0x3dcc63757f771fd98e5547c617f0f9c1a45c2ce6,731.40556221,0,1467.27039442,0,2198.67595663,349.48250568045563,1800.0,4348.158462309042
72,0xc6cdab291f30a2e9864d05e6c18a41ce19c4f055,39.86957912,0,14.58873737,0,54.45831649,0.34817776643756776,600.0,654.806494258658
73,0x50af68a76eb19d34d02bfb817c6956ce71edce6f,292.92354982,0,138.13973689,0,431.06328672,1.406729376863228,600.0,1032.4700160920797
74,0x6851cbb526219bea1ac3046ebe332b499b7c9c9e,1.5192242,0,79.25459811,0,80.77382231,3.4510218081943353,85800.0,85884.22484411793
75,0x429b237685fbcb406d91e457869b4d1088a5d196,292.92139399,0,138.13842123,0,431.05981523,1.3425740612540864,600.0,1032.4023892875143
76,0xe3ca37bca065111b89d38142444905dbce5dd91c,731.40556221,0,2934.54078884,0,3665.94635105,592.0689937556407,3600.0,7858.015344802614
77,0xac246357f8346033e3df86874d1c7286c96eb8a3,292.91873091,0,138.136796,0,431.05552692,1.6158788148904497,600.0,1032.6714057312633
78,0x8cf1cfb3e648d0d75ee928724b0ed1c4b16cb98d,731.40556221,0,1467.27039442,0,2198.67595663,349.37095416218835,1800.0,4348.046910790776
79,0x2693d661ad168e026741baac9aeaddb8e036307f,164.32926229,3180.91086165,61.46392382,0,3406.70404776,38.69507968269376,600.0,4045.3991274403916
80,0xa37c2d48e7eb73cf8cbc9057cab0b2334bdb8674,292.91315112,0,138.13339091,0,431.04654203,1.7984477414423021,600.0,1032.8449897754224
81,0x9d8270b7c757a339c9d18003babb634bfa9dc024,731.40556221,0,2934.54078884,0,3665.94635105,929.0795215043397,3600.0,8195.025872551312
82,0xf98516a4703bf203b908b7a5c0f0d0b6ff67cf8a,292.91175617,0,138.13253965,0,431.04429582,1.4166705931836614,600.0,1032.4609664147793
83,0x88df3a00d7e0e04552b4785309dea3708e8b0dd0,1.58704529,57.8205509,1.7371492,0,61.14474539,0.6867884602470422,1800.0,1861.8315338542359
84,0xbe145c5ddb09dd336926699b2bf66d52ee0225b8,731.40556221,0,2445.45065736,0,3176.85621957,510.9314954934749,3000.0,6687.787715067652
85,0xaf2e25fa84a0532cc921d3bb30f3b578ec89e289,731.40556221,0,2445.45065736,0,3176.85621957,511.5651162500929,3000.0,6688.4213358242705
86,0x1e01d48f79e568627abb89f75e3e90211bcf907c,1.56587497,0,11.99780844,0,13.56368341,1.013374074264409,12600.0,12614.577057483555
87,0x4e142dd680279b94d980a4137ff82787254e8675,365.70278111,0,1467.27039442,0,1832.97317552,296.439139839705,1800.0,3929.4123153631917
88,0x27b503441fc6b4a362123fe65fd56e877342013a,164.32853318,0,799.02727547,0,963.35580866,0.8442032571168644,7800.0,8764.200011912817
89,0xc5b47688d79af304c93bb701e047200bd0a4efaa,731.40556221,0,1467.27039442,0,2198.67595663,349.0150613697685,1800.0,4347.691017998355
90,0xb9ea38b717fc95e7e858d3223f485db349b0007a,731.40556221,0,1467.27039442,0,2198.67595663,348.05946904992356,1800.0,4346.73542567851
91,0x5e1dfff34c07e05d7d58ec5293acc23617315f87,731.40556221,0,1467.27039442,0,2198.67595663,348.63815123026507,1800.0,4347.314107858852
92,0xcb69515458d5b7c3776c5d42ac6cbfc03f21e280,164.32688477,0,799.0188331,0,963.34571788,0.7333974878319169,7800.0,8764.07911536311
93,0x38073e63e08faf48f0a62fed83729ca5691c2827,29.62177955,892.81136759,10.83015268,0,933.26329982,0.9321999425531112,600.0,1534.1954997619118
94,0xd19cdf0181c065ee64f6aed6985396d65375ed42,99.60160616,7077.48861732,146.54643107,0,7323.63665455,0.838876875508041,2400.0,9724.475531425072
95,0x75dda2e9528f517c26cd2fa9e9b0f03644e31f94,731.40556221,0,1956.36052589,0,2687.7660881,430.3977051263857,2400.0,5518.163793227768
96,0xf05963f4cfe6821ce68cde7dcd95bde9fc0b2e77,164.32634587,0,799.0160731,0,963.34241897,0.3998637023510109,7800.0,8763.742282668647
97,0xb23d13b991a5aa08dbcf76c524a263795e3d7be5,1.51754452,70.15861839,209.29418036,0,280.97034327,5.670065041325462,226800.0,227086.64040831162
98,0xc5bbab922e9ca1d0296ebe5cb0bf47020177734a,731.40556221,0,978.18026295,0,1709.58582516,267.70210861934527,1200.0,3177.2879337751365
99,0x052f9a3c34b28e134817d559d0724d5f26d1c18d,30.05443795,4.10431733,10.9887354,0,45.14749068,0.5808061209614662,600.0,645.728296805939
100,0xd95087fe50d68f6ad186a8f2f86e07a596816483,164.32552166,0,799.01185191,0,963.33737358,0.5658218937493544,7800.0,8763.903195469835
101,0xf81468c4bdb3cc9c3cc3c37787cd8226a7ba734b,1.5184319,0,189.47214311,0,190.990575,0.6434015850512644,205200.0,205391.6339765877
102,0x0bc7db8d9cdfb7e5854dbd285888c7bb29098493,40.68124931,150.23921076,89.32020865,0,280.24066872,6741.983094259092,3600.0,10622.223762977042
103,0x3935bbef5dd7f7b49a0cd22e3749b7b59e37452b,164.32479256,0,799.00811779,0,963.33291035,0.13950191908276127,7800.0,8763.472412265368
104,0x82b11e34080b831b6f3949fdf6e29ef42eabe36a,6.65226687,0,9.71275033,0,16.3650172,0.23209154687021138,2400.0,2416.597108746726
105,0x68e9c710b9a5e6180b3df756fd864eea6815191c,2.38937834,73.51366729,0,0,75.90304563,0.9146774023097259,0.0,76.81772303479018
106,0x0f05f07ce1f147b9bf0ca49b4462f90a929cdb59,0,0,0,0,0,0,0.0,0
107,0xba2a7f44110a219db98c7766dee1ed39958a8ac9,6.65166472,0,4.85593539,0,11.5076001,0.47530299849684815,1200.0,1211.9829031021652
108,0xbc11dfcac7bb734684c5e68e0ac8ed261376f929,171.12939899,0,133.83891757,0,304.96831656,1710.4077456179423,1200.0,3215.3760621813663
109,0x289b427b413520d0cd31f2507143f91c4d6c4ce0,6.26203648,0,0,0,6.26203648,0.10949602856169517,0.0,6.371532513511696
110,0x146b8981eb0c188da9c82ff6cc510837961145d0,731.40556221,0,3423.63092031,0,4155.03648252,674.0212054256559,4200.0,9029.057687945424
